index,anomalia
0,-1
1,0
2,0
3,1
4,0
5,1
6,0
7,2
8,0
9,2
10,3
11,2
12,4
13,2
14,2
15,1
16,2
17,1
18,3
19,3
20,2
21,5
22,4
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,0
43,-1
44,1
45,0
46,4
47,-1
48,3
49,0
50,0
51,3
52,-1
53,0
54,1
55,1
56,3
57,3
58,3
59,0
60,3
61,0
62,5
63,0
64,4
65,0
66,4
67,-1
68,-1
69,4
70,0
71,0
72,6
73,6
74,0
75,2
76,2
77,0
78,6
79,6
80,-1
81,-1
82,6
83,6
84,6
85,2
86,3
87,0
88,1
89,0
90,1
91,0
92,1
93,1
94,2
95,0
96,2
97,7
98,2
99,2
100,0
101,2
102,2
103,2
104,3
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,-1
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,2
324,2
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,2
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,1
374,0
375,1
376,7
377,-1
378,3
379,2
380,-1
381,2
382,2
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,0
391,2
392,4
393,-1
394,2
395,2
396,2
397,2
398,0
399,2
400,4
401,0
402,3
403,2
404,2
405,2
406,0
407,2
408,1
409,2
410,-1
411,1
412,2
413,2
414,2
415,2
416,1
417,1
418,4
419,1
420,2
421,1
422,3
423,2
424,2
425,0
426,0
427,1
428,2
429,2
430,2
431,4
432,2
433,1
434,2
435,0
436,2
437,2
438,0
439,2
440,2
441,1
442,1
443,1
444,2
445,2
446,2
447,3
448,2
449,0
450,2
451,7
452,3
453,-1
454,1
455,0
456,0
457,8
458,8
459,8
460,3
461,-1
462,0
463,1
464,8
465,8
466,1
467,0
468,0
469,-1
470,-1
471,1
472,7
473,1
474,1
475,4
476,2
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,4
485,1
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,-1
494,0
495,2
496,2
497,1
498,9
499,1
500,-1
501,0
502,1
503,1
504,4
505,4
506,3
507,2
508,7
509,3
510,8
511,3
512,0
513,3
514,3
515,2
516,0
517,9
518,3
519,4
520,3
521,3
522,0
523,8
524,3
525,-1
526,1
527,1
528,1
529,1
530,10
531,1
532,10
533,3
534,0
535,8
536,1
537,-1
538,-1
539,0
540,1
541,1
542,1
543,1
544,1
545,0
546,9
547,9
548,9
549,9
550,9
551,9
552,9
553,9
554,9
555,9
556,9
557,9
558,9
559,9
560,9
561,9
562,9
563,9
564,9
565,1
566,0
567,2
568,1
569,2
570,0
571,0
572,0
573,0
574,1
575,0
576,0
577,1
578,0
579,0
580,1
581,0
582,4
583,1
584,0
585,1
586,0
587,-1
588,0
589,1
590,4
591,0
592,1
593,0
594,2
595,10
596,0
597,4
598,2
599,2
600,2
601,1
602,0
603,2
604,4
605,3
606,3
607,0
608,1
609,-1
610,2
611,4
612,-1
613,1
614,1
615,1
616,1
617,1
618,1
619,0
620,4
621,1
622,0
623,0
624,1
625,1
626,9
627,9
628,9
629,9
630,9
631,9
632,9
633,9
634,9
635,9
636,9
637,9
638,9
639,9
640,9
641,9
642,9
643,9
644,9
645,9
646,9
647,9
648,9
649,9
650,-1
651,9
652,9
653,9
654,9
655,9
656,1
657,0
658,9
659,9
660,9
661,-1
662,9
663,9
664,1
665,10
666,4
667,1
668,1
669,8
670,1
671,-1
672,0
673,4
674,10
675,1
676,10
677,10
678,1
679,1
680,1
681,4
682,1
683,1
684,4
685,1
686,0
687,1
688,3
689,0
690,10
691,-1
692,0
693,0
694,1
695,0
696,1
697,0
698,1
699,1
700,-1
701,0
702,0
703,0
704,0
705,-1
706,0
707,-1
708,-1
709,-1
710,1
711,0
712,0
713,1
714,1
715,2
716,2
717,2
718,2
719,2
720,2
721,2
722,0
723,0
724,11
725,11
726,12
727,12
728,12
729,11
730,11
731,13
732,14
733,14
734,14
735,14
736,11
737,11
738,11
739,11
740,11
741,15
742,-1
743,15
744,15
745,11
746,14
747,15
748,15
749,11
750,14
751,14
752,14
753,14
754,12
755,15
756,14
757,14
758,16
759,15
760,13
761,14
762,12
763,14
764,14
765,14
766,14
767,12
768,14
769,15
770,14
771,11
772,14
773,14
774,14
775,15
776,15
777,13
778,12
779,13
780,15
781,14
782,14
783,14
784,15
785,15
786,15
787,14
788,16
789,15
790,-1
791,15
792,15
793,15
794,15
795,13
796,13
797,14
798,15
799,14
800,15
801,-1
802,14
803,15
804,15
805,12
806,15
807,14
808,12
809,14
810,15
811,14
812,14
813,-1
814,-1
815,14
816,14
817,14
818,15
819,14
820,12
821,14
822,14
823,14
824,-1
825,14
826,14
827,14
828,11
829,15
830,15
831,15
832,15
833,16
834,14
835,14
836,14
837,15
838,14
839,14
840,14
841,12
842,14
843,15
844,15
845,14
846,14
847,15
848,15
849,15
850,14
851,15
852,14
853,14
854,14
855,15
856,15
857,15
858,15
859,14
860,14
861,15
862,14
863,15
864,15
865,11
866,14
867,15
868,15
869,14
870,15
871,15
872,15
873,16
874,15
875,16
876,15
877,15
878,14
879,12
880,15
881,15
882,15
883,15
884,14
885,17
886,14
887,15
888,14
889,15
890,12
891,15
892,-1
893,18
894,18
895,18
896,14
897,11
898,14
899,15
900,14
901,15
902,15
903,15
904,15
905,14
906,14
907,14
908,15
909,-1
910,11
911,11
912,11
913,11
914,11
915,15
916,-1
917,11
918,15
919,15
920,14
921,14
922,-1
923,16
924,15
925,15
926,15
927,15
928,14
929,15
930,15
931,15
932,15
933,15
934,15
935,17
936,12
937,17
938,15
939,15
940,18
941,14
942,14
943,11
944,11
945,11
946,11
947,11
948,11
949,11
950,11
951,11
952,11
953,11
954,11
955,11
956,11
957,11
958,11
959,11
960,11
961,11
962,11
963,15
964,14
965,14
966,15
967,18
968,14
969,-1
970,15
971,15
972,15
973,17
974,15
975,17
976,14
977,14
978,14
979,17
980,14
981,14
982,14
983,17
984,17
985,16
986,14
987,15
988,14
989,14
990,14
991,17
992,15
993,14
994,17
995,15
996,14
997,15
998,15
999,15
1000,-1
1001,14
1002,14
1003,14
1004,12
1005,11
1006,12
1007,14
1008,15
1009,14
1010,15
1011,14
1012,14
1013,15
1014,14
1015,12
1016,14
1017,12
1018,12
1019,12
1020,12
1021,12
1022,12
1023,12
1024,17
1025,14
1026,14
1027,14
1028,14
1029,15
1030,14
1031,15
1032,15
1033,14
1034,14
1035,15
1036,14
1037,15
1038,15
1039,15
1040,15
1041,15
1042,15
1043,15
1044,15
1045,14
1046,15
1047,14
1048,14
1049,15
1050,14
1051,15
1052,14
1053,14
1054,14
1055,15
1056,15
1057,15
1058,14
1059,12
1060,15
1061,14
1062,15
1063,15
1064,14
1065,14
1066,14
1067,14
1068,14
1069,15
1070,15
1071,15
1072,15
1073,14
1074,14
1075,12
1076,15
1077,15
1078,15
1079,14
1080,15
1081,19
1082,14
1083,14
1084,14
1085,14
1086,18
1087,12
1088,15
1089,14
1090,14
1091,11
1092,-1
1093,15
1094,12
1095,14
1096,15
1097,12
1098,15
1099,14
1100,14
1101,-1
1102,14
1103,14
1104,14
1105,14
1106,12
1107,-1
1108,15
1109,12
1110,14
1111,14
1112,15
1113,14
1114,-1
1115,-1
1116,-1
1117,15
1118,-1
1119,-1
1120,14
1121,12
1122,-1
1123,14
1124,14
1125,15
1126,15
1127,14
1128,15
1129,15
1130,12
1131,-1
1132,15
1133,19
1134,15
1135,15
1136,14
1137,15
1138,15
1139,14
1140,14
1141,12
1142,15
1143,14
1144,19
1145,15
1146,-1
1147,15
1148,14
1149,15
1150,15
1151,15
1152,15
1153,15
1154,15
1155,19
1156,14
1157,15
1158,15
1159,15
1160,11
1161,19
1162,12
1163,15
1164,14
1165,12
1166,14
1167,15
1168,15
1169,12
1170,14
1171,12
1172,14
1173,15
1174,12
1175,14
1176,15
1177,15
1178,14
1179,14
1180,17
1181,15
1182,12
1183,14
1184,14
1185,15
1186,-1
1187,15
1188,-1
1189,12
1190,19
1191,14
1192,12
1193,14
1194,19
1195,14
1196,14
1197,14
1198,15
1199,12
1200,12
1201,11
1202,11
1203,11
1204,11
1205,11
1206,11
1207,11
1208,11
1209,11
1210,11
1211,11
1212,11
1213,11
1214,11
1215,11
1216,11
1217,11
1218,11
1219,11
1220,11
1221,11
1222,11
1223,14
1224,14
1225,15
1226,14
1227,17
1228,14
1229,15
1230,15
1231,12
1232,15
1233,15
1234,15
1235,15
1236,12
1237,15
1238,12
1239,12
1240,12
1241,14
1242,14
1243,12
1244,14
1245,14
1246,14
1247,15
1248,14
1249,14
1250,14
1251,14
1252,14
1253,14
1254,14
1255,12
1256,15
1257,15
1258,14
1259,14
1260,17
1261,12
1262,11
1263,11
1264,11
1265,11
1266,11
1267,11
1268,11
1269,11
1270,11
1271,11
1272,11
1273,11
1274,11
1275,11
1276,11
1277,11
1278,11
1279,11
1280,11
1281,11
1282,11
1283,11
1284,11
1285,11
1286,11
1287,11
1288,11
1289,11
1290,11
1291,11
1292,11
1293,11
1294,11
1295,11
1296,11
1297,11
1298,11
1299,11
1300,11
1301,11
1302,11
1303,11
1304,11
1305,11
1306,11
1307,11
1308,11
1309,11
1310,11
1311,11
1312,11
1313,11
1314,11
1315,11
1316,11
1317,11
1318,11
1319,11
1320,11
1321,11
1322,11
1323,11
1324,11
1325,11
1326,11
1327,11
1328,11
1329,11
1330,11
1331,11
1332,11
1333,11
1334,11
1335,11
1336,11
1337,11
1338,11
1339,11
1340,11
1341,11
1342,11
1343,11
1344,11
1345,11
1346,11
1347,11
1348,11
1349,11
1350,11
1351,11
1352,11
1353,11
1354,11
1355,11
1356,11
1357,11
1358,11
1359,11
1360,11
1361,11
1362,11
1363,11
1364,11
1365,11
1366,11
1367,11
1368,11
1369,11
1370,11
1371,11
1372,11
1373,11
1374,11
1375,11
1376,11
1377,11
1378,11
1379,11
1380,11
1381,11
1382,11
1383,11
1384,11
1385,11
1386,11
1387,11
1388,11
1389,11
1390,11
1391,11
1392,11
1393,11
1394,11
1395,11
1396,11
1397,11
1398,11
1399,11
1400,11
1401,11
1402,11
1403,11
1404,11
1405,11
1406,11
1407,11
1408,11
1409,11
1410,11
1411,11
1412,11
1413,11
1414,11
1415,11
1416,11
1417,11
1418,11
1419,11
1420,11
1421,11
1422,11
1423,11
1424,11
1425,11
1426,11
1427,11
1428,11
1429,11
1430,11
1431,11
1432,11
1433,11
1434,11
1435,11
1436,11
1437,11
1438,11
1439,11
1440,11
1441,11
1442,11
1443,11
1444,11
1445,11
1446,11
1447,11
1448,11
1449,11
1450,11
1451,11
1452,11
1453,11
1454,11
1455,11
1456,11
1457,11
1458,11
1459,11
1460,11
1461,11
1462,11
1463,11
1464,11
1465,11
1466,11
1467,11
1468,11
1469,11
1470,11
1471,11
1472,11
1473,11
1474,11
1475,11
1476,11
1477,11
1478,11
1479,11
1480,11
1481,11
1482,11
1483,11
1484,11
1485,11
1486,11
1487,11
1488,11
1489,11
1490,11
1491,11
1492,11
1493,11
1494,11
1495,11
1496,11
1497,11
1498,11
1499,11
1500,11
1501,11
1502,11
1503,11
1504,11
1505,11
1506,11
1507,11
1508,11
1509,11
1510,11
1511,11
1512,11
1513,11
1514,11
1515,11
1516,11
1517,11
1518,11
1519,11
1520,11
1521,11
1522,11
1523,11
1524,11
1525,11
1526,11
1527,11
1528,11
1529,11
1530,11
1531,11
1532,11
1533,11
1534,11
1535,11
1536,11
1537,11
1538,11
1539,11
1540,11
1541,11
1542,11
1543,11
1544,11
1545,11
1546,11
1547,11
1548,11
1549,11
1550,11
1551,11
1552,11
1553,11
1554,11
1555,11
1556,11
1557,11
1558,11
1559,11
1560,11
1561,11
1562,11
1563,11
1564,11
1565,11
1566,11
1567,11
1568,11
1569,11
1570,11
1571,11
1572,11
1573,11
1574,11
1575,11
1576,11
1577,11
1578,11
1579,11
1580,11
1581,11
1582,11
1583,11
1584,11
1585,11
1586,11
1587,11
1588,11
1589,11
1590,11
1591,11
1592,11
1593,11
1594,11
1595,11
1596,11
1597,11
1598,11
1599,11
1600,11
1601,11
1602,11
1603,11
1604,11
1605,11
1606,11
1607,11
1608,11
1609,11
1610,11
1611,11
1612,11
1613,11
1614,11
1615,11
1616,11
1617,11
1618,11
1619,11
1620,11
1621,11
1622,11
1623,11
1624,11
1625,11
1626,11
1627,11
1628,11
1629,11
1630,11
1631,11
1632,11
1633,11
1634,11
1635,11
1636,11
1637,11
1638,11
1639,11
1640,11
1641,11
1642,11
1643,11
1644,15
1645,11
1646,11
1647,11
1648,11
1649,11
1650,11
1651,11
1652,11
1653,11
1654,11
1655,11
1656,11
1657,11
1658,11
1659,11
1660,11
1661,11
1662,11
1663,11
1664,11
1665,11
1666,11
1667,11
1668,11
1669,11
1670,11
1671,11
1672,11
1673,11
1674,11
1675,11
1676,11
1677,11
1678,11
1679,11
1680,11
1681,11
1682,11
1683,11
1684,11
1685,11
1686,11
1687,11
1688,11
1689,11
1690,11
1691,11
1692,11
1693,11
1694,11
1695,11
1696,11
1697,11
1698,11
1699,11
1700,11
1701,11
1702,11
1703,11
1704,11
1705,11
1706,11
1707,11
1708,11
1709,11
1710,11
1711,11
1712,11
1713,11
1714,11
1715,11
1716,11
1717,11
1718,11
1719,11
1720,11
1721,11
1722,11
1723,11
1724,11
1725,11
1726,11
1727,11
1728,11
1729,11
1730,11
1731,11
1732,11
1733,11
1734,11
1735,11
1736,11
1737,11
1738,11
1739,11
1740,11
1741,11
1742,11
1743,11
1744,11
1745,11
1746,11
1747,11
1748,11
1749,11
1750,11
1751,11
1752,11
1753,11
1754,11
1755,11
1756,11
1757,11
1758,11
1759,11
1760,11
1761,11
1762,11
1763,11
1764,11
1765,11
1766,11
1767,11
1768,11
1769,11
1770,11
1771,11
1772,11
1773,11
1774,11
1775,11
1776,11
1777,11
1778,11
1779,11
1780,11
1781,11
1782,11
1783,11
1784,11
1785,11
1786,11
1787,11
1788,11
1789,11
1790,11
1791,11
1792,11
1793,11
1794,11
1795,11
1796,11
1797,11
1798,11
1799,11
1800,11
1801,11
1802,11
1803,11
1804,11
1805,11
1806,11
1807,11
1808,11
1809,11
1810,11
1811,11
1812,11
1813,11
1814,11
1815,11
1816,11
1817,11
1818,11
1819,11
1820,11
1821,11
1822,11
1823,11
1824,11
1825,11
1826,11
1827,11
1828,11
1829,11
1830,11
1831,11
1832,11
1833,11
1834,11
1835,11
1836,11
1837,11
1838,11
1839,11
1840,11
1841,11
1842,11
1843,11
1844,11
1845,11
1846,11
1847,11
1848,11
1849,11
1850,11
1851,11
1852,11
1853,11
1854,11
1855,11
1856,11
1857,11
1858,11
1859,11
1860,11
1861,11
1862,11
1863,11
1864,11
1865,11
1866,11
1867,11
1868,11
1869,11
1870,11
1871,11
1872,11
1873,11
1874,11
1875,11
1876,11
1877,11
1878,11
1879,11
1880,11
1881,11
1882,11
1883,11
1884,11
1885,11
1886,11
1887,11
1888,11
1889,11
1890,11
1891,-1
1892,11
1893,11
1894,11
1895,11
1896,11
1897,11
1898,11
1899,11
1900,11
1901,11
1902,11
1903,11
1904,11
1905,11
1906,11
1907,11
1908,11
1909,11
1910,11
1911,11
1912,11
1913,11
1914,11
1915,11
1916,11
1917,11
1918,11
1919,11
1920,14
1921,14
1922,14
1923,14
1924,14
1925,14
1926,14
1927,-1
1928,14
1929,14
1930,14
1931,14
1932,14
1933,14
1934,14
1935,14
1936,17
1937,-1
1938,14
1939,14
1940,15
1941,14
1942,15
1943,12
1944,14
1945,14
1946,12
1947,15
1948,14
1949,12
1950,14
1951,17
1952,12
1953,14
1954,15
1955,15
1956,14
1957,14
1958,15
1959,15
1960,14
1961,14
1962,15
1963,15
1964,14
1965,15
1966,14
1967,14
1968,12
1969,14
1970,14
1971,14
1972,14
1973,-1
1974,15
1975,15
1976,12
1977,14
1978,14
1979,17
1980,15
1981,14
1982,12
1983,15
1984,15
1985,12
1986,15
1987,15
1988,15
1989,14
1990,15
1991,14
1992,19
1993,14
1994,14
1995,14
1996,14
1997,14
1998,14
1999,14
2000,15
2001,14
2002,14
2003,15
2004,11
2005,14
2006,14
2007,14
2008,15
2009,15
2010,15
2011,19
2012,15
2013,20
2014,21
2015,21
2016,21
2017,22
2018,22
2019,20
2020,21
2021,21
2022,22
2023,22
2024,21
2025,21
2026,21
2027,21
2028,21
2029,21
2030,21
2031,21
2032,21
2033,21
2034,21
2035,21
2036,21
2037,21
2038,21
2039,21
2040,21
2041,21
2042,21
2043,21
2044,21
2045,21
2046,21
2047,21
2048,21
2049,21
2050,21
2051,21
2052,21
2053,21
2054,21
2055,21
2056,21
2057,21
2058,21
2059,21
2060,21
2061,21
2062,22
2063,22
2064,22
2065,22
2066,22
2067,22
2068,22
2069,22
2070,-1
2071,-1
2072,20
2073,22
2074,22
2075,20
2076,20
2077,22
2078,22
2079,22
2080,20
2081,23
2082,22
2083,20
2084,20
2085,20
2086,22
2087,23
2088,23
2089,20
2090,20
2091,-1
2092,20
2093,20
2094,23
2095,23
2096,23
2097,23
2098,20
2099,22
2100,-1
2101,22
2102,23
2103,23
2104,23
2105,23
2106,-1
2107,20
2108,22
2109,20
2110,20
2111,20
2112,23
2113,23
2114,22
2115,23
2116,23
2117,23
2118,23
2119,23
2120,20
2121,20
2122,20
2123,23
2124,20
2125,20
2126,23
2127,20
2128,20
2129,23
2130,20
2131,22
2132,23
2133,20
2134,23
2135,20
2136,22
2137,22
2138,22
2139,20
2140,22
2141,20
2142,20
2143,22
2144,23
2145,20
2146,22
2147,23
2148,-1
2149,20
2150,20
2151,22
2152,20
2153,20
2154,22
2155,23
2156,23
2157,23
2158,20
2159,23
2160,22
2161,20
2162,22
2163,22
2164,21
2165,20
2166,22
2167,20
2168,20
2169,22
2170,20
2171,23
2172,20
2173,22
2174,20
2175,23
2176,20
2177,20
2178,22
2179,22
2180,20
2181,20
2182,20
2183,22
2184,22
2185,22
2186,22
2187,22
